# Copyright (C) 2016  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.1.0 Build 196 10/24/2016 SJ Lite Edition
# File: C:\Users\Sachi\Documents\Quartus PROCESSOR modules\Processor Phase 2\Processor Phase 2\pins_phase5_edited.csv
# Generated on: Fri Oct 23 19:38:15 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ctrlsig_out[0],Output,PIN_G19,7,B7_N2,PIN_G19,2.5 V,,,,,
datain[3],Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
datain[2],Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
datain[1],Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
datain[0],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
segmentA,Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
segmentA1,Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
segmentA2,Output,PIN_AA25,5,B5_N1,PIN_AA25,2.5 V,,,,,
segmentA3,Output,PIN_V21,5,B5_N1,PIN_V21,2.5 V,,,,,
segmentA4,Output,PIN_AB19,4,B4_N0,PIN_AB19,2.5 V,,,,,
segmentB,Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
segmentB1,Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
segmentB2,Output,PIN_AA26,5,B5_N1,PIN_AA26,2.5 V,,,,,
segmentB3,Output,PIN_U21,5,B5_N0,PIN_U21,2.5 V,,,,,
segmentB4,Output,PIN_AA19,4,B4_N0,PIN_AA19,2.5 V,,,,,
segmentC,Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
segmentC1,Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
segmentC2,Output,PIN_Y25,5,B5_N1,PIN_Y25,2.5 V,,,,,
segmentC3,Output,PIN_AB20,4,B4_N0,PIN_AB20,2.5 V,,,,,
segmentC4,Output,PIN_AG21,4,B4_N2,PIN_AG21,2.5 V,,,,,
segmentD,Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
segmentD1,Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
segmentD2,Output,PIN_W26,5,B5_N1,PIN_W26,2.5 V,,,,,
segmentD3,Output,PIN_AA21,4,B4_N0,PIN_AA21,2.5 V,,,,,
segmentD4,Output,PIN_AH21,4,B4_N2,PIN_AH21,2.5 V,,,,,
segmentE,Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
segmentE1,Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
segmentE2,Output,PIN_Y26,5,B5_N1,PIN_Y26,2.5 V,,,,,
segmentE3,Output,PIN_AD24,4,B4_N0,PIN_AD24,2.5 V,,,,,
segmentE4,Output,PIN_AE19,4,B4_N1,PIN_AE19,2.5 V,,,,,
segmentF,Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
segmentF1,Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
segmentF2,Output,PIN_W27,5,B5_N1,PIN_W27,2.5 V,,,,,
segmentF3,Output,PIN_AF23,4,B4_N0,PIN_AF23,2.5 V,,,,,
segmentF4,Output,PIN_AF19,4,B4_N1,PIN_AF19,2.5 V,,,,,
segmentG,Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
segmentG1,Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
segmentG2,Output,PIN_W28,5,B5_N1,PIN_W28,2.5 V,,,,,
segmentG3,Output,PIN_Y19,4,B4_N0,PIN_Y19,2.5 V,,,,,
segmentG4,Output,PIN_AE18,4,B4_N2,PIN_AE18,2.5 V,,,,,
